ID	Treatment	Female_Line	Sex	Yolked_Oocytes	Mature_Oocytes	Still.have.wings
M_1	Constant	1	NA	NA	NA	
M_3	Constant	1	female	59	30	y
M_4	Constant	1	female	49	21	y
M_5	Constant	1	female	85	45	y
M_6	Constant	1	female	68	19	y
M_7	Constant	1	female	73	8	y
M_8	Constant	1	NA	NA	NA	
M_9	Constant	1	NA	NA	NA	
M_10	Constant	1	male	NA	NA	
M_11	Constant	1	male	NA	NA	
M_12	Constant	1	male	NA	NA	
M_13	Constant	1	female	23	0	y
M_14	Constant	1	female	58	6	
M_15	Constant	2	male	NA	NA	
M_16	Constant	2	male	NA	NA	
M_17	Constant	2	female	53	0	y
M_18	Constant	2	NA	NA	NA	
M_19	Constant	2	NA	NA	NA	
M_20	Constant	2	male	NA	NA	
M_21	Constant	2	female	60	8	y
M_22	Constant	2	NA	NA	NA	
M_23	Constant	3	male	NA	NA	
M_24	Constant	3	female	8	0	y
M_25	Constant	3	male	NA	NA	
M_26	Constant	3	female	0	0	y
M_27	Constant	3	female	56	0	Yes
M_28	Constant	3	male	NA	NA	
M_29	Constant	3	female	44	0	y
M_30	Constant	3	male	NA	NA	
M_31	Constant	3	female	34	0	Yes
M_32	Constant	3	male	NA	NA	
M_33	Constant	3	male	NA	NA	
M_34	Constant	3	female	70	8	y
M_35	Constant	3	NA	NA	NA	
M_36	Constant	3	male	NA	NA	
M_37	Constant	3	NA	NA	NA	
M_38	Constant	3	NA	NA	NA	
M_39	Constant	3	male	NA	NA	
M_40	Constant	3	NA	NA	NA	
M_41	Constant	3	female	46	4	y
M_42	Constant	3	male	NA	NA	
M_43	Decreasing	1	NA	NA	NA	
M_44	Decreasing	1	male	NA	NA	
M_45	Decreasing	1	female	27	0	Yes
M_46	Decreasing	1	male	NA	NA	
M_47	Decreasing	1	female	0	0	y
M_48	Decreasing	1	female	16	0	Yes, marked female, wings are female. Spread sheet has oocyte data, but marked male originally.
M_49	Decreasing	1	male	NA	NA	
M_50	Decreasing	1	male	NA	NA	
M_51	Decreasing	1	NA	NA	NA	
M_52	Decreasing	1	female	10	0	y
M_54	Decreasing	1	female	0.0	0.0	y
M_55	Decreasing	1	female	12	0	Yes
M_56	Decreasing	1	female	32	0	Yes
