Query ID	Monarch geneid	Evalue	Identity	Length	RNAseq depth	RefSeq Annotation	UniRef Annotation
XP_0325145411LOC116768035organismDanausplexippusGeneID116768035	DPOGS202134	0.0	100.00%	4	1140	olfactory receptor 42 [Bombyx mori]	Odorant receptor 42 n=4 Tax=Obtectomera RepID=A7E3I3_BOMMO
XP_0325145411LOC116768035organismDanausplexippusGeneID116768035	DPOGS211555	7e-20	23.30%	1	1467	olfactory receptor 23 [Bombyx mori]	Olfactory receptor 12 n=6 Tax=Obtectomera RepID=B5A7F1_HELAM
XP_0325145411LOC116768035organismDanausplexippusGeneID116768035	DPOGS214596	7e-15	21.83%	20	1110	olfactory receptor 41 [Bombyx mori]	Candidate olfactory receptor n=6 Tax=Obtectomera RepID=Q0EEF9_BOMMO
XP_0325145411LOC116768035organismDanausplexippusGeneID116768035	DPOGS201968	9e-13	25.41%	2	972	GK14158 [Drosophila willistoni]	Olfactory receptor 12 n=6 Tax=Obtectomera RepID=B5A7F1_HELAM
XP_0325145411LOC116768035organismDanausplexippusGeneID116768035	DPOGS208899	2e-10	24.05%	3	1530	olfactory receptor 64 [Bombyx mori]	Olfactory receptor n=1 Tax=Bombyx mori RepID=C4B7Z3_BOMMO
XP_0325145411LOC116768035organismDanausplexippusGeneID116768035	DPOGS206964	2e-09	23.97%	371	1437	olfactory receptor 2 [Bombyx mori]	Gustatory and odorant receptor 7 n=16 Tax=Endopterygota RepID=OR7_ANOGA
XP_0325145411LOC116768035organismDanausplexippusGeneID116768035	DPOGS201932	3e-08	24.39%	7	1410	olfactory receptor 13 [Bombyx mori]	Olfactory receptor n=3 Tax=Obtectomera RepID=C4B7U6_BOMMO
XP_0325145411LOC116768035organismDanausplexippusGeneID116768035	DPOGS204409	8e-08	25.26%	0	753	Odorant receptor 85c, putative [Aedes aegypti]	Odorant receptor 85c, putative n=2 Tax=Aedes aegypti RepID=Q16EI9_AEDAE
XP_0325145411LOC116768035organismDanausplexippusGeneID116768035	DPOGS211556	3e-07	32.81%	1	627	olfactory receptor 24 [Bombyx mori]	Olfactory receptor 12 n=6 Tax=Obtectomera RepID=B5A7F1_HELAM
XP_0325145411LOC116768035organismDanausplexippusGeneID116768035	DPOGS201247	1e-06	22.36%	7	1338	olfactory receptor 60 [Bombyx mori]	Olfactory receptor n=1 Tax=Bombyx mori RepID=C4B7Y8_BOMMO
XP_0325145411LOC116768035organismDanausplexippusGeneID116768035	DPOGS212146	1e-06	24.73%	42	1161	olfactory receptor 54 [Bombyx mori]	Olfactory receptor-like receptor n=3 Tax=Obtectomera RepID=B1B1Q4_BOMMO
